AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.0,0.0,0.45,0.86,0.53,0.53,0.0,0.53,0.0,0.53,1.39,1.17,0.3,Negative
0.34,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.34,1.67,1.85,0.53,Negative
0.4,0.0,0.73,0.0,0.58,0.35,0.88,0.0,0.0,0.0,0.53,0.0,0.93,0.88,1.28,0.98,Negative
0.0,0.0,0.0,0.45,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,2.09,1.52,0.0,0.58,Negative
0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.01,1.7,Negative
0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,1.53,1.9,Negative
0.0,0.0,0.0,0.0,0.0,0.38,0.65,0.0,0.0,0.0,0.65,0.0,0.0,1.86,2.42,0.55,Negative
0.0,0.0,0.0,0.0,0.28,0.0,1.35,0.0,0.0,0.0,0.58,0.0,0.28,1.6,2.02,0.7,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.3,0.0,0.15,1.07,2.02,1.1,Negative
0.0,0.0,0.0,0.2,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,2.16,1.96,0.0,0.2,Negative
0.0,0.0,0.0,2.48,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.48,1.05,0.17,Negative
1.2,0.0,1.2,0.57,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,2.32,Negative
0.0,0.0,0.0,0.89,0.0,1.4,0.0,0.56,0.56,0.47,0.33,0.47,0.12,1.79,2.12,0.46,Negative
0.0,0.0,0.23,0.44,0.69,1.68,1.53,0.0,0.0,0.0,0.29,0.0,1.42,1.97,1.66,1.1,Negative
0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.47,0.65,0.22,0.43,0.47,0.64,1.04,0.4,0.0,Negative
0.16,0.0,0.43,0.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,1.54,0.32,0.71,1.81,Negative
0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,2.12,2.34,0.22,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.47,1.95,Negative
0.0,0.0,0.0,2.01,0.0,1.34,1.09,0.63,0.86,0.28,0.58,0.63,2.01,2.29,1.96,1.67,Negative
0.35,0.0,0.0,0.1,0.0,1.22,2.85,0.0,0.0,0.0,1.63,0.0,1.67,2.96,1.75,0.45,Negative
0.97,0.0,0.0,0.15,0.93,1.45,2.09,0.0,0.0,0.0,0.64,0.0,0.92,2.31,2.67,1.28,Negative
0.0,0.0,0.0,1.94,0.08,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.95,3.34,2.22,Negative
0.0,0.0,0.13,0.35,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.43,3.71,3.41,0.13,Negative
